

央视频道,#genre#
4K视界专区,http://171.213.129.138:1880/rtp/239.93.0.14:5140
都市剧场,http://171.213.129.138:1880/rtp/239.93.42.30:5140
少儿天地专区,http://171.213.129.138:1880/rtp/239.93.42.34:5140
求索频道,http://171.213.129.138:1880/rtp/239.93.42.24:5140
生活时尚,http://171.213.129.138:1880/rtp/239.93.42.29:5140
环球旅游,http://171.213.129.138:1880/rtp/239.93.42.31:5140
来钓鱼吧专区,http://171.213.129.138:1880/rtp/239.93.42.8:5140
麻辣体育专区,http://171.213.129.138:1880/rtp/239.93.42.2:5140
绚影4K专区,http://171.213.129.138:1880/rtp/239.93.42.33:5140
先锋乒羽,http://171.213.129.138:1880/rtp/239.93.42.56:5140
天元围棋,http://171.213.129.138:1880/rtp/239.93.42.55:5140
快乐垂钓,http://171.213.129.138:1880/rtp/239.93.1.151:5140
茶频道,http://171.213.129.138:1880/rtp/239.93.0.114:5140
乐龄学堂专区,http://171.213.129.138:1880/rtp/239.93.1.179:5140
亲子趣学4k专区,http://171.213.129.138:1880/rtp/239.93.1.191:5140
中录动漫4K专区,http://171.213.129.138:1880/rtp/239.93.1.188:5140
4K乐享超清专区,http://171.213.129.138:1880/rtp/239.93.0.43:5140
书画频道,http://171.213.129.138:1880/rtp/239.93.42.67:5140
乐游,http://171.213.129.138:1880/rtp/239.93.42.94:5140
金色学堂,http://171.213.129.138:1880/rtp/239.93.42.95:5140
法治天地,http://171.213.129.138:1880/rtp/239.93.42.96:5140
中国天气,http://171.213.129.138:1880/rtp/239.93.42.66:5140
四海钓鱼,http://171.213.129.138:1880/rtp/239.93.0.55:5140
魅力足球,http://171.213.129.138:1880/rtp/239.93.42.97:5140
动漫秀场,http://171.213.129.138:1880/rtp/239.93.42.93:5140
精彩影视,http://171.213.129.138:1880/rtp/239.93.42.92:5140
欢笑剧场4K,http://171.213.129.138:1880/rtp/239.93.0.145:5140
中国体育1,http://171.213.129.138:1880/rtp/239.93.42.25:5140
中国体育2,http://171.213.129.138:1880/rtp/239.93.42.26:5140
中国体育3,http://171.213.129.138:1880/rtp/239.93.42.27:5140
精彩推荐专区,http://171.213.129.138:1880/rtp/239.93.1.5:5140
红原日干乔,http://171.213.129.138:1880/rtp/239.93.0.178:5140
红原月亮湾,http://171.213.129.138:1880/rtp/239.93.0.209:5140
电信导视3,http://171.213.129.138:1880/rtp/239.93.0.110:5140
雅克音乐节直播,http://171.213.129.138:1880/rtp/239.93.42.69:5140
雅克音乐节宣传,http://171.213.129.138:1880/rtp/239.93.42.68:5140
云演艺宣传,http://171.213.129.138:1880/rtp/239.93.42.60:5140
华西证券,http://171.213.129.138:1880/rtp/239.93.0.69:5140





CCTV-1,http://171.213.129.138:1880/rtp/239.93.0.184:5140
CCTV-2,http://171.213.129.138:1880/rtp/239.93.1.23:6000
CCTV-3高清,http://171.213.129.138:1880/rtp/239.93.0.109:5140
CCTV-4高清,http://171.213.129.138:1880/rtp/239.93.1.105:5140
CCTV-5高清,http://171.213.129.138:1880/rtp/239.93.42.37:5140
CCTV-6高清,http://171.213.129.138:1880/rtp/239.93.42.38:5140
CCTV-7高清,http://171.213.129.138:1880/rtp/239.93.1.67:5140
CCTV-8高清,http://171.213.129.138:1880/rtp/239.93.42.39:5140
CCTV-9高清,http://171.213.129.138:1880/rtp/239.93.1.24:5140
CCTV-10高清,http://171.213.129.138:1880/rtp/239.93.1.28:5140
CCTV-11高清,http://171.213.129.138:1880/rtp/239.93.0.102:5140
CCTV-12高清,http://171.213.129.138:1880/rtp/239.93.1.30:8124
CCTV-13高清,http://171.213.129.138:1880/rtp/239.93.0.66:5140
CCTV-少儿高清,http://171.213.129.138:1880/rtp/239.93.1.29:6000
CCTV-15高清,http://171.213.129.138:1880/rtp/239.93.0.103:5140
CCTV-16高清,http://171.213.129.138:1880/rtp/239.93.42.53:5140
CCTV-17高清,http://171.213.129.138:1880/rtp/239.93.0.92:5140
CCTV-1杜比高清,http://171.213.129.138:1880/rtp/239.93.0.69:5140
CCTV-5+高清,http://171.213.129.138:1880/rtp/239.93.1.36:8004
爱上4K(4K机顶盒用户可观看),http://171.213.129.138:1880/rtp/239.93.0.97:5140
CGTN英语,http://171.213.129.138:1880/rtp/239.93.0.104:5140
CCTV-16 4K超高清,http://171.213.129.138:1880/rtp/239.93.42.54:5140
四川卫视高清,http://171.213.129.138:1880/rtp/239.93.0.20:1235
CDTV-1高清,http://171.213.129.138:1880/rtp/239.93.0.16:5140
湖南卫视高清,http://171.213.129.138:1880/rtp/239.93.0.88:5140
江苏卫视高清,http://171.213.129.138:1880/rtp/239.93.0.89:5140
浙江卫视高清,http://171.213.129.138:1880/rtp/239.93.0.124:5140
东方卫视高清,http://171.213.129.138:1880/rtp/239.93.0.123:5140
北京卫视高清,http://171.213.129.138:1880/rtp/239.93.0.180:5140
深圳卫视高清,http://171.213.129.138:1880/rtp/239.93.0.182:5140
广东卫视高清,http://171.213.129.138:1880/rtp/239.93.0.181:5140
天津卫视高清,http://171.213.129.138:1880/rtp/239.93.0.167:5140
山东卫视高清,http://171.213.129.138:1880/rtp/239.93.0.168:5140
SCTV-2高清,http://171.213.129.138:1880/rtp/239.93.1.101:5140
SCTV-3高清,http://171.213.129.138:1880/rtp/239.93.1.102:5140
SCTV-4高清,http://171.213.129.138:1880/rtp/239.93.0.47:5140
SCTV-5高清,http://171.213.129.138:1880/rtp/239.93.0.166:5140
SCTV-6高清,http://171.213.129.138:1880/rtp/239.93.1.144:5140
SCTV-7高清,http://171.213.129.138:1880/rtp/239.93.0.219:5140
SCTV-科教高清,http://171.213.129.138:1880/rtp/239.93.42.44:5140
四川乡村高清,http://171.213.129.138:1880/rtp/239.93.0.52:5140
康巴卫视高清,http://171.213.129.138:1880/rtp/239.93.0.41:5140
江西卫视高清,http://171.213.129.138:1880/rtp/239.93.0.134:5140
东南卫视高清,http://171.213.129.138:1880/rtp/239.93.0.42:5140
黑龙江卫视高清,http://171.213.129.138:1880/rtp/239.93.0.183:5140
重庆卫视高清,http://171.213.129.138:1880/rtp/239.93.1.107:5140
贵州卫视高清,http://171.213.129.138:1880/rtp/239.93.0.131:5140
湖北卫视高清,http://171.213.129.138:1880/rtp/239.93.0.250:5140
安徽卫视高清,http://171.213.129.138:1880/rtp/239.93.1.106:5140
河北卫视高清,http://171.213.129.138:1880/rtp/239.93.0.132:5140
辽宁卫视高清,http://171.213.129.138:1880/rtp/239.93.1.108:5140
河南卫视高清,http://171.213.129.138:1880/rtp/239.93.42.45:5140
广西卫视高清,http://171.213.129.138:1880/rtp/239.93.42.46:5140
云南卫视,http://171.213.129.138:1880/rtp/239.93.0.174:5140
吉林卫视高清,http://171.213.129.138:1880/rtp/239.93.0.248:5140
陕西卫视,http://171.213.129.138:1880/rtp/239.93.0.176:5140
山西卫视,http://171.213.129.138:1880/rtp/239.93.0.6:5140
内蒙古卫视,http://171.213.129.138:1880/rtp/239.93.0.8:5140
青海卫视,http://171.213.129.138:1880/rtp/239.93.0.192:5140
宁夏卫视,http://171.213.129.138:1880/rtp/239.93.0.247:5140
西藏卫视,http://171.213.129.138:1880/rtp/239.93.0.175:5140
新疆卫视,http://171.213.129.138:1880/rtp/239.93.0.194:5140
甘肃卫视高清,http://171.213.129.138:1880/rtp/239.93.0.81:5140
海南卫视,http://171.213.129.138:1880/rtp/239.93.0.80:5140
陕西农林,http://171.213.129.138:1880/rtp/239.93.0.100:5140
兵团卫视,http://171.213.129.138:1880/rtp/239.93.42.43:5140
厦门卫视,http://171.213.129.138:1880/rtp/239.93.42.57:5140
三沙卫视,http://171.213.129.138:1880/rtp/239.93.42.58:5140
 
 V音乐台1,http://171.213.129.138:1880/rtp/239.93.0.157:2194
 V音乐台2,http://171.213.129.138:1880/rtp/239.93.1.7:2194
 星空卫视,http://171.213.129.138:1880/rtp/239.93.0.156:2193
山东教育卫视,http://171.213.129.138:1880/rtp/239.93.1.196:5140
CDTV-2,http://171.213.129.138:1880/rtp/239.93.0.17:1239
CDTV-3,http://171.213.129.138:1880/rtp/239.93.0.18:1238
CDTV-4,http://171.213.129.138:1880/rtp/239.93.0.19:1250
CDTV-5高清,http://171.213.129.138:1880/rtp/239.93.1.231:5140
CDTV-6,http://171.213.129.138:1880/rtp/239.93.0.21:1251
CDTV-8高清,http://171.213.129.138:1880/rtp/239.93.0.22:1252
峨眉电影高清,http://171.213.129.138:1880/rtp/239.93.0.252:5140
上海纪实高清,http://171.213.129.138:1880/rtp/239.93.1.137:5140
金鹰纪实高清,http://171.213.129.138:1880/rtp/239.93.0.130:5140
综艺咖秀,http://171.213.129.138:1880/rtp/239.93.1.175:5140
红色经典,http://171.213.129.138:1880/rtp/239.93.1.176:5140
4K超高清电影,http://171.213.129.138:1880/rtp/239.93.1.156:5140
4K乐享超清,http://171.213.129.138:1880/rtp/239.93.0.43:5140
熊猫新闻高清,http://171.213.129.138:1880/rtp/239.93.1.112:5140
