

央视频道,#genre#
岭南戏曲,http://home.l-ht.cn:4000/rtp/239.77.0.122:5146
现代教育,http://home.l-ht.cn:4000/rtp/239.77.0.213:5146
广州综合,http://home.l-ht.cn:4000/rtp/239.253.43.71:5146
广州新闻,http://home.l-ht.cn:4000/rtp/239.253.43.72:5146
广州影视,http://home.l-ht.cn:4000/rtp/239.253.43.73:5146
广州法治,http://home.l-ht.cn:4000/rtp/239.253.43.74:5146
深圳都市频道,http://home.l-ht.cn:4000/rtp/239.77.1.176:5146
深圳都市频道,http://home.l-ht.cn:4000/rtp/239.77.1.124:5146
深圳电视剧频道,http://home.l-ht.cn:4000/rtp/239.77.1.177:5146
深圳电视剧频道,http://home.l-ht.cn:4000/rtp/239.77.1.125:5146
深圳财经生活,http://home.l-ht.cn:4000/rtp/239.77.1.242:5146
深圳体育健康,http://home.l-ht.cn:4000/rtp/239.77.1.128:5146
深圳体育健康,http://home.l-ht.cn:4000/rtp/239.77.1.140:5146
深圳少儿频道,http://home.l-ht.cn:4000/rtp/239.77.1.244:5146
深圳宝安频道,http://home.l-ht.cn:4000/rtp/239.77.1.67:5146
深圳龙岗频道,http://home.l-ht.cn:4000/rtp/239.77.1.223:5146
韶关新闻综合,http://home.l-ht.cn:4000/rtp/239.77.0.117:5146
湛江新闻综合,http://home.l-ht.cn:4000/rtp/239.77.0.141:5146
湛江公共,http://home.l-ht.cn:4000/rtp/239.77.0.140:5146
揭阳综合,http://home.l-ht.cn:4000/rtp/239.77.0.229:5146
揭阳生活,http://home.l-ht.cn:4000/rtp/239.77.0.251:5146
汕尾新闻综合,http://home.l-ht.cn:4000/rtp/239.77.0.25:5146
汕尾文化生活,http://home.l-ht.cn:4000/rtp/239.77.0.187:5146
江门综合,http://home.l-ht.cn:4000/rtp/239.77.0.201:5146
江门侨乡生活,http://home.l-ht.cn:4000/rtp/239.77.0.202:5146
HZTV-1,http://home.l-ht.cn:4000/rtp/239.77.1.232:5146
HZTV-2,http://home.l-ht.cn:4000/rtp/239.77.1.233:5146
珠海-1,http://home.l-ht.cn:4000/rtp/239.77.0.155:5146
肇庆综合,http://home.l-ht.cn:4000/rtp/239.253.43.1:5146
肇庆生活服务,http://home.l-ht.cn:4000/rtp/239.253.43.2:5146
河源综合,http://home.l-ht.cn:4000/rtp/239.253.43.213:5146
河源公共,http://home.l-ht.cn:4000/rtp/239.253.43.214:5146
清远新闻综合,http://home.l-ht.cn:4000/rtp/239.253.43.33:5146
清远文旅生活,http://home.l-ht.cn:4000/rtp/239.253.43.34:5146
云浮综合,http://home.l-ht.cn:4000/rtp/239.77.0.253:5146
云浮文旅,http://home.l-ht.cn:4000/rtp/239.77.0.254:5146
茂名综合,http://home.l-ht.cn:4000/rtp/239.77.0.206:5146
茂名公共,http://home.l-ht.cn:4000/rtp/239.77.0.207:5146
汕头综合,http://home.l-ht.cn:4000/rtp/239.77.1.130:5146
汕头综合,http://home.l-ht.cn:4000/rtp/239.253.43.45:5146
汕头经济生活,http://home.l-ht.cn:4000/rtp/239.77.1.131:5146
汕头经济生活,http://home.l-ht.cn:4000/rtp/239.253.43.46:5146
汕头文旅体育,http://home.l-ht.cn:4000/rtp/239.77.1.132:5146
